Case ID, Side Force, Pitching Moment, Normal Force, Yawing Moment , Rolling Moment, Axial Force, Dynamic Pressure, Static Pressure, Air Speed
8,-5.537668,1.353004,3.084106,-2.697764,0.10596,-0.429647,0.146659,0.000677,136.453009
8,-5.523235,1.372551,3.085702,-2.684551,0.107411,-0.438081,0.146709,0.000555,136.476154
8,-5.530621,1.363612,3.084112,-2.697044,0.099498,-0.439379,0.146555,0.000437,136.404323
8,-5.541361,1.344882,3.087828,-2.692923,0.095382,-0.43464,0.146433,0.00074,136.34768
8,-5.539792,1.366847,3.099761,-2.701184,0.103277,-0.433848,0.146657,0.000825,136.452174
8,-5.526139,1.351571,3.091616,-2.695305,0.082733,-0.429569,0.146776,0.000647,136.507203
8,-5.530053,1.365251,3.084032,-2.683991,0.08043,-0.438673,0.146729,0.000514,136.485503
8,-5.533985,1.375154,3.088359,-2.68551,0.080817,-0.444774,0.146662,0.000605,136.454199
8,-5.531724,1.362778,3.077484,-2.702792,0.075384,-0.42978,0.146703,0.000658,136.473449
8,-5.522995,1.37977,3.078058,-2.680344,0.082457,-0.423467,0.146599,0.000623,136.425056
8,-5.529726,1.376867,3.079182,-2.683555,0.079274,-0.43172,0.146536,0.000523,136.395788
8,-5.526036,1.363194,3.078981,-2.683898,0.083508,-0.436713,0.146548,0.000544,136.401385
8,-5.523225,1.357544,3.071498,-2.689273,0.074376,-0.428415,0.146468,0.000543,136.363952
8,-5.544143,1.377353,3.084526,-2.690084,0.082869,-0.429718,0.146562,0.000729,136.407704
8,-5.533121,1.374931,3.086885,-2.688728,0.088726,-0.434345,0.146875,0.000797,136.553328
8,-5.527903,1.367068,3.082844,-2.691855,0.080317,-0.436364,0.146808,0.000693,136.522123
9,-6.249199,1.476366,3.463565,-2.144337,-0.750426,-0.38985,0.146269,-0.000004,136.271123
9,-6.301058,1.513754,3.495347,-2.301387,-0.552822,-0.422076,0.1462,-0.000044,136.239081
9,-6.270344,1.492148,3.490895,-2.172548,-0.632755,-0.40367,0.146078,-0.000027,136.18213
9,-6.243181,1.498525,3.460465,-2.1772,-0.723668,-0.399435,0.14597,-0.00004,136.131897
9,-6.227698,1.490404,3.467124,-2.102108,-0.738261,-0.382558,0.145915,0.000066,136.106456
9,-6.242656,1.490724,3.47348,-2.129738,-0.735095,-0.387312,0.145954,0.000168,136.124332
9,-6.318516,1.545741,3.504878,-2.255343,-0.571363,-0.410975,0.146146,0.000364,136.214061
9,-6.319025,1.529424,3.503362,-2.248182,-0.565457,-0.409116,0.146312,0.000309,136.291375
9,-6.281115,1.559906,3.481509,-2.312916,-0.608477,-0.42465,0.146135,0.000195,136.208999
9,-6.260426,1.502911,3.482943,-2.194194,-0.683406,-0.400643,0.145921,0.000041,136.109088
9,-6.282875,1.51512,3.481956,-2.199008,-0.67025,-0.390945,0.14598,0.000076,136.136747
9,-6.276344,1.522374,3.493674,-2.236525,-0.617616,-0.408208,0.146086,0.000182,136.18623
9,-6.249542,1.508861,3.473743,-2.190445,-0.697318,-0.399546,0.146021,0.000156,136.155528
9,-6.308839,1.525827,3.510881,-2.274581,-0.615635,-0.418966,0.14603,0.00018,136.160111
9,-6.297428,1.514904,3.485227,-2.245748,-0.640332,-0.409276,0.146154,0.000319,136.217713
9,-6.317123,1.549825,3.512273,-2.28793,-0.603251,-0.409563,0.146277,0.00034,136.275229
9,-6.260735,1.527866,3.490717,-2.183532,-0.69378,-0.401965,0.146311,0.000212,136.29088
9,-6.272711,1.515317,3.483564,-2.19656,-0.665343,-0.40282,0.146261,0.000183,136.267391
9,-6.218571,1.451224,3.462849,-2.101379,-0.807256,-0.374604,0.146167,0.00012,136.223629
9,-6.240991,1.468017,3.472111,-2.100904,-0.767424,-0.377371,0.146149,0.000084,136.215546
9,-6.263941,1.536892,3.504609,-2.17483,-0.66719,-0.402276,0.146193,0.000102,136.235757
10,-6.540318,0.355039,3.626471,-0.94883,0.128536,0.010351,0.145463,-0.000457,135.895455
10,-6.426467,0.341763,3.568609,-0.870635,0.091338,0.047679,0.145516,-0.000256,135.920052
10,-6.420744,0.420517,3.566411,-0.86631,0.090551,0.028607,0.145654,-0.000305,135.984662
10,-6.39816,0.41323,3.520666,-0.877194,0.240409,0.042547,0.145649,-0.000377,135.982419
10,-6.450954,0.448657,3.603571,-0.850302,0.10954,0.032843,0.145676,-0.000389,135.994835
10,-6.40306,0.273773,3.526318,-0.910492,0.47482,0.046936,0.145607,-0.000431,135.962506
10,-6.380652,0.347849,3.523517,-0.897045,0.088923,0.042912,0.145536,-0.000554,135.92931
10,-6.414783,0.350854,3.524368,-0.854091,0.404695,0.03764,0.145547,-0.000464,135.934664
10,-6.413996,0.325128,3.540042,-0.845729,-0.000949,0.03679,0.145607,-0.000386,135.96259
10,-6.363328,0.376287,3.539516,-0.843671,0.145301,0.050048,0.145639,-0.000209,135.977421
10,-6.450941,0.331377,3.563208,-0.924806,0.24792,0.031147,0.145715,-0.000299,136.013078
10,-6.496875,0.411835,3.603236,-0.91161,-0.001665,0.025093,0.145794,-0.000331,136.049892
10,-6.375358,0.27639,3.510786,-0.935357,0.290811,0.03905,0.145812,-0.00034,136.058392
10,-6.446576,0.373124,3.568771,-0.870858,0.125143,0.026811,0.145772,-0.000474,136.03953
10,-6.465344,0.348251,3.60068,-0.912411,0.050719,0.026282,0.145665,-0.000445,135.989892
10,-6.466468,0.368759,3.601579,-0.898292,0.272426,0.031325,0.145627,-0.000352,135.97217
10,-6.461646,0.321176,3.568914,-0.915639,-0.043971,0.046601,0.145582,-0.000342,135.950935
10,-6.393045,0.358579,3.556851,-0.879812,0.123491,0.019127,0.145528,-0.000286,135.9258
10,-6.495773,0.324678,3.588483,-0.990323,-0.008353,0.0218,0.145591,-0.000225,135.955112
10,-6.40496,0.468659,3.57404,-0.871205,-0.008619,0.02384,0.145646,-0.000388,135.980636
10,-6.408125,0.344285,3.550749,-0.856952,0.067245,0.038538,0.145497,-0.000476,135.911062
